Story Name,Sentence ID,Sentence,Annotator 1,Annotator 2,Annotator 3
শেয়াল-দেবতা রহস্য,1,‘টেলিফোনটা কে ধরেছিল ফেলুদা?’,Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,2,"প্রশ্নটা করেই বুঝতে পারলাম যে বোকামি করেছি, কারণ যোগব্যায়াম করার সময় ফেলুদা কথা বলে না।",Detective Reasoning / Deduction,Detective Reasoning / Deduction,Detective Reasoning / Deduction
শেয়াল-দেবতা রহস্য,3,এক্সারসাইজ ছেড়ে ফেলুদা এ-জিনিসটা সবে মাস ছয়েক হল ধরেছে।,Backstory / Exposition,Backstory / Exposition,Character Description
শেয়াল-দেবতা রহস্য,4,সকালে আধঘণ্টা ধরে নানারকম ‘আসন’ করে সে।,Character Description,Character Description,Narration / Observation
শেয়াল-দেবতা রহস্য,5,"এমনকী, কনুইয়ের উপর ভর দিয়ে মাথা নীচের দিকে আর পা উপর দিকে শূন্যে তুলে শীর্ষাসন পর্যন্ত।",Character Description,Character Description,Character Description
শেয়াল-দেবতা রহস্য,6,এটা স্বীকার করতেই হবে যে একমাসে ফেলুদার শরীর আরো ‘ফিট’ হয়েছে বলে মনে হয়; কাজেই বলতে হয় যে যোগাসনে রীতিমত উপকার হচ্ছে।,Narration / Observation,Narration / Observation,Narration / Observation
শেয়াল-দেবতা রহস্য,7,প্রশ্নটা জিজ্ঞেস করেই পিছন দিকে টেবিলের উপরে রাখা ঘড়ির টাইমটা দেখে নিলাম।,Narration / Observation,Narration / Observation,Narration / Observation
শেয়াল-দেবতা রহস্য,8,ঠিক সাড়ে সাত মিনিট পরে আসন শেষ করে ফেলুদা জবাব দিল— ‘তুই চিনবি না।’,Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,9,এতক্ষণ পরে এরকম একটা উত্তর পেয়ে ভারি রাগ হল।,Emotional Reaction,Emotional Reaction,Emotional Reaction
শেয়াল-দেবতা রহস্য,10,"চিনি না তো অনেককেই, কিন্তু নামটা বলতে দোষ কী?",Narration / Observation,Narration / Observation,Narration / Observation
শেয়াল-দেবতা রহস্য,11,"আর না চিনলেও, চিনিয়ে দেওয়া যায় না কি?",Narration / Observation,Narration / Observation,Narration / Observation
শেয়াল-দেবতা রহস্য,12,"একটু গম্ভীরভাবেই জিজ্ঞেস করলাম, ‘তুমি চেনো?’",Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,13,"ফেলুদা জলে-ভেজানো ছোলা খেতে খেতে বলল, ‘আগে চিনতাম না।",Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,14,এখন চিনি।’,Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,15,কয়েকদিন হল আমার পুজোর ছুটি হয়ে গেছে।,Backstory / Exposition,Backstory / Exposition,Backstory / Exposition
শেয়াল-দেবতা রহস্য,16,বাবা তিনদিন হল জামশেদপুরে গেছেন কাজে।,Backstory / Exposition,Backstory / Exposition,Backstory / Exposition
শেয়াল-দেবতা রহস্য,17,"বাড়িতে এখন আমি, ফেলুদা আর মা।",Backstory / Exposition,Backstory / Exposition,Backstory / Exposition
শেয়াল-দেবতা রহস্য,18,এবার আমরা পুজোয় বাইরে যাব না।,Backstory / Exposition,Backstory / Exposition,Backstory / Exposition
শেয়াল-দেবতা রহস্য,19,"তাতে আমার বিশেষ আফসোস নেই, কারণ পুজোয় কলকাতাটা ভালই লাগে, বিশেষ করে যদি ফেলুদা সঙ্গে থাকে।",Emotional Reaction,Narration / Observation,Emotional Reaction
শেয়াল-দেবতা রহস্য,21,এর আগে প্রত্যেকটা রহস্যের ব্যাপারেই আমি ফেলুদার সঙ্গে ছিলাম।,Backstory / Exposition,Backstory / Exposition,Backstory / Exposition
শেয়াল-দেবতা রহস্য,22,"ভয় হয় ওর নাম বেশি হওয়াতে হঠাৎ যদি ও একদিন বলে বসে, ‘নাঃ, তোকে আর এবার সঙ্গে নেব না?’",Suspense / Tension,Suspense / Tension,Suspense / Tension
শেয়াল-দেবতা রহস্য,23,কিন্তু এখন পর্যন্ত সেটা ঘটেনি।,Narration / Observation,Narration / Observation,Narration / Observation
শেয়াল-দেবতা রহস্য,24,আমার বিশ্বাস ওর আমাকে সঙ্গে রাখার একটা কারণ আছে।,Detective Reasoning / Deduction,Detective Reasoning / Deduction,Narration / Observation
শেয়াল-দেবতা রহস্য,25,হয়তো সঙ্গে একটা অল্পবয়স্ক ছেলেকে দেখে অনেকেই ওকে গোয়েন্দা বলে ভাবতে পারে না।,Detective Reasoning / Deduction,Detective Reasoning / Deduction,Narration / Observation
শেয়াল-দেবতা রহস্য,26,সেটা তো একটা মস্ত সুবিধে।,Narration / Observation,Narration / Observation,Narration / Observation
